Script started on 2026-09-09 14:04:54+02:00 [COMMAND="/usr/bin/time -v julia --project=. scratch_blas1.jl 2>bench/blas1_idmrg2/time.log" <not executed on terminal>]
eigensolver: MPSKit.DynamicTols.DynamicTol{Lanczos{ModifiedGramSchmidt2, Float64}}(Lanczos{ModifiedGramSchmidt2, Float64}(ModifiedGramSchmidt2(), 16, 5, 1.0e-10, true, 0), 1.0e-14, 0.01, 1.0)

find_groundstate: 273.34 s, 50 iterations, final Galerkin error 1.412e-03
  E/site, IDMRG2 dE estimator = -0.2792512194
  E/site, variational         = -0.2792506423
  reference: TeNPy -0.2792287344 (converged, 22 sweeps)
             IDMRG2 5 iterations -0.2765905800 (not converged)

iter  time [s]    energy
----------------------------------------
1     63.588      -0.28288277
2     64.519      -0.25701731
3     66.280      -0.26832992
4     73.071      -0.27420151
5     77.480      -0.27656941
6     81.170      -0.27831922
7     84.740      -0.27884143
8     86.976      -0.27890011
9     90.188      -0.27894578
10    93.444      -0.27909888
11    96.152      -0.27916147
12    98.991      -0.27914459
13    102.644     -0.27917028
14    106.474     -0.27920920
15    110.037     -0.27920846
16    113.776     -0.27920493
17    117.739     -0.27922429
18    121.523     -0.27923224
19    124.082     -0.27922493
20    128.443     -0.27922948
21    132.372     -0.27924015
22    136.333     -0.27923798
23    140.128     -0.27923464
24    144.311     -0.27924197
25    148.147     -0.27924608
26    151.607     -0.27924144
27    156.295     -0.27924356
28    160.247     -0.27924889
29    164.194     -0.27924664
30    168.479     -0.27924496
31    173.103     -0.27924894
32    177.513     -0.27924996
33    181.728     -0.27924718
34    187.638     -0.27924822
35    192.411     -0.27925104
36    196.673     -0.27924973
37    200.994     -0.27924820
38    206.046     -0.27925056
39    210.525     -0.27925154
40    214.739     -0.27924920
41    219.731     -0.27924979
42    224.601     -0.27925200
43    229.002     -0.27925068
44    233.805     -0.27924962
45    239.873     -0.27925143
46    244.512     -0.27925177
47    248.976     -0.27925022
48    254.058     -0.27925064
49    259.101     -0.27925198
50    263.646     -0.27925122

Script done on 2026-09-09 14:12:57+02:00 [COMMAND_EXIT_CODE="0"]
