BLAS threads: 1 (cap 1, requested 36, 72 CPU threads available); Julia threads: 1
eigensolver: MPSKit.DynamicTols.DynamicTol{Lanczos{ModifiedGramSchmidt, Float64}}(Lanczos{ModifiedGramSchmidt, Float64}(ModifiedGramSchmidt(), 16, 5, 1.0e-10, true, 0), 1.0e-14, 0.01, 1.0)

find_groundstate: 278.60 s, 50 iterations, final Galerkin error 1.412e-03
  E/site, IDMRG2 dE estimator = -0.2792512194
  E/site, variational         = -0.2792506423
  reference: TeNPy -0.2792287344 (converged, 22 sweeps)
             IDMRG2 5 iterations -0.2765905800 (not converged)

iter  time [s]    energy
----------------------------------------
1     46.366      -0.28288277
2     47.468      -0.25701731
3     49.303      -0.26832992
4     55.065      -0.27420151
5     60.379      -0.27656941
6     65.064      -0.27831922
7     67.705      -0.27884143
8     71.805      -0.27890011
9     74.122      -0.27894578
10    78.049      -0.27909888
11    80.765      -0.27916147
12    84.511      -0.27914459
13    88.919      -0.27917028
14    91.690      -0.27920920
15    95.867      -0.27920846
16    98.745      -0.27920493
17    103.104     -0.27922429
18    107.532     -0.27923224
19    112.146     -0.27922493
20    115.571     -0.27922948
21    120.356     -0.27924015
22    125.429     -0.27923798
23    128.529     -0.27923464
24    133.914     -0.27924197
25    138.591     -0.27924608
26    143.085     -0.27924144
27    147.241     -0.27924356
28    152.113     -0.27924889
29    157.011     -0.27924664
30    162.169     -0.27924496
31    165.963     -0.27924894
32    171.198     -0.27924996
33    176.167     -0.27924718
34    181.851     -0.27924822
35    187.521     -0.27925104
36    191.111     -0.27924973
37    196.096     -0.27924820
38    202.007     -0.27925056
39    207.358     -0.27925154
40    210.932     -0.27924920
41    216.636     -0.27924979
42    222.054     -0.27925200
43    227.352     -0.27925068
44    232.877     -0.27924962
45    238.992     -0.27925143
46    243.374     -0.27925177
47    248.431     -0.27925022
48    254.357     -0.27925064
49    260.294     -0.27925198
50    265.695     -0.27925122
