Script started on 2026-09-09 13:54:07+02:00 [COMMAND="/usr/bin/time -v julia --project=. mpskit_idmrg2.jl 2>bench/twopass_idmrg2/time.log" <not executed on terminal>]
eigensolver: MPSKit.DynamicTols.DynamicTol{Lanczos{ModifiedGramSchmidt2, Float64}}(Lanczos{ModifiedGramSchmidt2, Float64}(ModifiedGramSchmidt2(), 16, 5, 1.0e-10, true, 0), 1.0e-14, 0.01, 1.0)

find_groundstate: 255.98 s, 50 iterations, final Galerkin error 1.412e-03
  E/site, IDMRG2 dE estimator = -0.2792512194
  E/site, variational         = -0.2792506423
  reference: TeNPy -0.2792287344 (converged, 22 sweeps)
             IDMRG2 5 iterations -0.2765905800 (not converged)

iter  time [s]    energy
----------------------------------------
1     63.837      -0.28288277
2     64.867      -0.25701731
3     66.643      -0.26832992
4     73.003      -0.27420151
5     76.944      -0.27656941
6     80.413      -0.27831922
7     83.641      -0.27884143
8     85.671      -0.27890011
9     88.664      -0.27894578
10    90.588      -0.27909888
11    93.724      -0.27916147
12    96.620      -0.27914459
13    99.873      -0.27917028
14    103.221     -0.27920920
15    105.166     -0.27920846
16    108.343     -0.27920493
17    111.731     -0.27922429
18    115.078     -0.27923224
19    118.487     -0.27922493
20    122.265     -0.27922948
21    125.710     -0.27924015
22    129.342     -0.27923798
23    133.030     -0.27923464
24    135.738     -0.27924197
25    139.227     -0.27924608
26    142.457     -0.27924144
27    146.664     -0.27924356
28    150.167     -0.27924889
29    154.015     -0.27924664
30    157.731     -0.27924496
31    161.927     -0.27924894
32    166.821     -0.27924996
33    170.919     -0.27924718
34    175.247     -0.27924822
35    180.566     -0.27925104
36    185.049     -0.27924973
37    189.348     -0.27924820
38    194.442     -0.27925056
39    198.552     -0.27925154
40    202.648     -0.27924920
41    207.211     -0.27924979
42    212.831     -0.27925200
43    216.647     -0.27925068
44    220.531     -0.27924962
45    224.933     -0.27925143
46    228.974     -0.27925177
47    232.874     -0.27925022
48    237.178     -0.27925064
49    241.387     -0.27925198
50    245.408     -0.27925122

Script done on 2026-09-09 14:01:57+02:00 [COMMAND_EXIT_CODE="0"]
